location_id,zone,expected_tmrel_c,released_tmrel_c
163,26,25.925,25.8340000000001
163,27,26.27,26.165
163,28,27.05,26.79
190,6,17.279,17.7290000000006
190,7,18.696,18.2340000000005
190,8,19.67,19.2440000000005
190,9,19.136,20.1930000000005
190,10,18.544,19.4819999999999
190,11,18.98,19.7779999999999
190,12,20.202,21.0819999999999
190,13,21.532,22.6179999999999
190,14,22.62,23.6039999999999
190,15,23.299,24.203
190,16,23.618,24.247
190,17,23.607,24.325
190,18,23.657,24.229
190,19,23.733,23.999
190,20,23.409,23.3409999999999
190,21,24.172,24.3119999999999
190,22,24.482,24.7589999999999
190,23,24.518,24.7909999999999
190,24,24.708,24.9669999999999
190,25,24.982,24.616
190,26,25.036,24.5540000000001
190,27,25.359,24.835
190,28,26.354,25.902
171,6,16.911,17.4240000000006
171,7,18.362,18.1390000000005
171,8,19.404,19.0530000000005
171,9,18.921,20.1530000000005
171,10,18.434,19.1579999999999
171,11,18.932,19.5749999999999
171,12,20.149,20.8909999999999
171,13,21.443,22.5159999999999
171,14,22.517,23.5559999999999
171,15,23.222,24.176
171,16,23.592,24.282
171,17,23.656,24.422
171,18,23.762,24.393
171,19,23.775,24.096
171,20,23.427,23.4009999999999
171,21,24.207,24.3229999999999
171,22,24.63,25.0129999999999
171,23,24.666,25.0599999999999
171,24,24.842,25.0969999999999
171,25,25.05,24.857
171,26,25.001,24.5360000000001
171,27,25.309,24.73
171,28,26.292,25.855
214,6,18.062,18.3530000000006
214,7,19.376,19.2820000000006
214,8,20.333,20.3820000000006
214,9,19.784,20.4820000000005
214,10,19.201,20.0489999999999
214,11,19.556,20.2419999999999
214,12,20.768,21.5909999999999
214,13,22.146,22.9159999999999
214,14,23.166,23.9649999999999
214,15,23.643,24.433
214,16,23.83,24.376
214,17,23.753,24.4
214,18,23.682,24.26
214,19,23.894,24.114
214,20,23.604,23.5299999999999
214,21,24.307,24.4439999999999
214,22,24.534,24.9049999999999
214,23,24.633,25.0049999999999
214,24,24.915,25.2689999999999
214,25,25.411,25.299
214,26,25.554,25.4110000000001
214,27,25.8,25.384
214,28,26.637,26.225
213,6,17.924,18.3400000000006
213,7,19.24,19.2290000000006
213,8,20.224,20.4920000000006
213,9,19.619,20.4740000000005
213,10,19.121,20.0709999999999
213,11,19.53,20.2449999999999
213,12,20.716,21.6299999999999
213,13,22.058,22.8959999999999
213,14,23.033,23.9129999999999
213,15,23.459,24.28
213,16,23.571,24.125
213,17,23.443,24.094
213,18,23.395,23.923
213,19,23.744,23.997
213,20,23.533,23.5039999999999
213,21,24.035,24.3189999999999
213,22,24.12,24.4569999999999
213,23,24.215,24.4879999999999
213,24,24.578,24.6499999999999
213,25,24.955,24.529
213,26,24.832,24.4780000000001
213,27,25.161,24.712
213,28,26.401,26.068
